date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:11:46	10416/10416	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202016%2020:51:56%20GMT	http://svencreations.com/demo/slideshow.html	C:/My%20Web%20Sites/7even/svencreations.com/demo/slideshow.html	(from )
03:11:47	1149/1149	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Apr%202016%2019:11:42%20GMT	http://svencreations.com/robots.txt		(from )
03:11:48	25192/25192	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202016%2016:16:35%20GMT	http://svencreations.com/demo/images/icons/icon-196x196.png	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/icons/icon-196x196.png	(from http://svencreations.com/demo/slideshow.html)
03:11:49	16663/16663	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202016%2016:16:35%20GMT	http://svencreations.com/demo/images/icons/touch-icon-iphone.png	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/icons/touch-icon-iphone.png	(from http://svencreations.com/demo/slideshow.html)
03:11:49	6111/6111	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202016%2016:16:35%20GMT	http://svencreations.com/demo/images/icons/touch-icon-ipad.png	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/icons/touch-icon-ipad.png	(from http://svencreations.com/demo/slideshow.html)
03:11:49	12169/12169	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202016%2016:16:35%20GMT	http://svencreations.com/demo/images/icons/touch-icon-iphone-retina.png	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/icons/touch-icon-iphone-retina.png	(from http://svencreations.com/demo/slideshow.html)
03:11:51	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%222f624089c65f12185e79925bc5a7fc42%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/7even/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from http://svencreations.com/demo/slideshow.html)
03:11:51	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%224fbd15cb6047af93373f4f895639c8bf%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/7even/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://svencreations.com/demo/slideshow.html)
03:11:52	6927/6927	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Mar%202016%2004:39:58%20GMT	http://svencreations.com/demo/css/sven-teaser.css	C:/My%20Web%20Sites/7even/svencreations.com/demo/css/sven-teaser.css	(from http://svencreations.com/demo/slideshow.html)
03:11:52	18074/18074	---M--	200	added ('OK')	image/png	date:Sun,%2027%20Mar%202016%2016:16:35%20GMT	http://svencreations.com/demo/images/icons/touch-icon-ipad-retina.png	C:/My%20Web%20Sites/7even/svencreations.com/demo/images/icons/touch-icon-ipad-retina.png	(from http://svencreations.com/demo/slideshow.html)
